Rank,Title,GoodsNo,Class
111,Go Go 카카오프렌즈 32 아르헨티나,126643298,"15,120"
112,똥볶이 할멈 6,126468962,"12,150"
113,아이는 무엇으로 자라는가,124702623,"15,750"
114,불편한 편의점,99308021,"12,600"
115,제철 행복,126120766,"16,020"
116,입시 읽어주는 엄마,126517932,"19,800"
117,삼체 1~3 세트,90926731,"60,300"
118,참을 수 없는 존재의 가벼움,61933303,"15,300"
119,진짜 쓰는 실무 엑셀,106711883,"18,900"
120,퀸의 대각선 2,127095428,"15,120"
121,전지적 푸바오 시점 : 아이러푸 에디션,126283698,"21,600"
122,채사장의 지대넓얕 10 : 거인의 어깨,126978961,"13,500"
123,2024 이동기 영어 직전동형 모의고사 Vol.2,125617439,"13,500"
124,2024 에듀윌 공인중개사 2차 기출응용 예상문제집 공인중개사법령 및 중개실무,125923192,"27,900"
125,느리게 나이 드는 습관,123318244,"16,200"
126,의사 어벤저스 18,126953389,"13,320"
127,괴수 8호 12 트리플특장판,126795819,"5,400"
128,데일 카네기 자기관리론,96794060,"10,350"
129,아주 작은 대화의 기술,126527658,"17,910"
130,학생회에도 구멍은 있다! 6,126978897,"5,400"
131,아홉 살에 시작하는 똑똑한 초등신문,118413014,"15,750"
132,2024 에듀윌 공인중개사 2차 기출응용 예상문제집 부동산세법,125923236,"27,000"
133,인간 실격,1387488,"8,100"
134,지적 대화를 위한 넓고 얕은 지식 1,86545658,"14,400"
135,챗봇 2025 트렌드&활용백과,126870580,"22,500"
136,피크아웃 코리아,126115744,"10,800"
137,우리는 모두 죽는다는 것을 기억하라,82287934,"15,300"
138,오백 년째 열다섯 3,126662788,"12,600"
139,리버보이,126457893,"13,500"
140,2024 에듀윌 공인중개사 2차 기출응용 예상문제집 부동산공시법,125923214,"27,900"
141,[예스리커버] 결국 해내는 사람들의 원칙,96072143,"16,200"
142,부자 아빠 가난한 아빠 20주년 특별 기념판,58774995,"15,300"
143,무엇이 인간관계를 힘들게 하는가,126846341,"16,020"
144,내면소통,117643865,"29,700"
145,한 달에 10만원 도시락 만들기,126954394,"16,920"
146,[예스리커버] 토마토 컵라면,125829847,"8,100"
147,원칙으로 수익 내는 단타의 기술,126576222,"19,800"
148,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,119562091,"15,750"
149,ETS 토익기출 파트별 VOCA 보카,116467955,"11,700"
150,백년허리2 치료편,101624325,"16,650"
151,사피엔스,23030284,"24,120"
152,백일 편지,126953168,"16,020"
153,흐르는 강물처럼,124425384,"15,300"
154,ETS 토익 단기공략 750+ (LC+RC),91868954,"16,200"
155,인생은 순간이다,123664943,"16,200"
156,5번 레인,92578889,"11,250"
157,데미안,176787,"7,200"
158,가장 빛나는 나이에 싸구려로 살지 마라,126846181,"16,020"
159,행복의 기원,126646941,"19,800"
160,장풍쌤의 과학 풍딱지 1,126807950,"15,300"
161,슈퍼코인 투자지도,126966326,"25,200"
162,불편한 편의점 2,111088149,"12,600"
163,동아 연세 초등 국어사전,89465538,"32,400"
164,변방에서 중심으로,126407774,"29,700"
165,2024 문동균 한국사 실전 봉투모의고사,124899680,"10,800"
166,스파이 패밀리 Spy Family 13,127098584,"5,400"
167,나에게 들려주는 예쁜 말,124702605,"15,120"
168,하이큐!! 매거진 2024 MAY,126347484,"18,000"
169,2024 제15회 젊은작가상 수상작품집,125709308,"6,930"
170,2024 신용한 행정학 실전과 가장 유사한 지방직 9급 모의고사,125390686,"10,800"
171,꽃을 보듯 너를 본다,24259730,"9,900"
172,해커스 토익 RC Reading(리딩) 기본서,116020437,"16,920"
173,2024 강해준 2차 대비 전범위 모의고사 1,126804468,"18,000"
174,똑 부러지게 내 생각을 전하는 말하기 연습,125028521,"12,870"
175,"2024 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화 (1,2,3급)",124539805,"17,550"
176,2024 이기적 컴퓨터활용능력 2급 필기 기본서,122428674,"18,900"
177,백앤아 6,126804660,"15,120"
178,어떻게 극단적 소수가 다수를 지배하는가,126465966,"19,800"
179,매주 달러 받는 배당주 통장,125384672,"17,820"
180,2024 선재국어 최종 점검 파이널 모의고사,125034813,"9,900"
181,최민준의 아들코칭 백과,122103181,"16,920"
182,오늘부터는 오를 집만 보인다,126661524,"18,000"
183,설민석의 삼국지 대모험 17,126589601,"10,800"
184,환영합니다 성령님,126540750,"22,500"
185,홍학의 자리,102791425,"12,600"
186,어린 왕자 오리지널 초판본,93082287,"2,970"
187,글루코스 혁명,110583033,"16,200"
188,사람을 안다는 것,125668307,"18,000"
189,그래서 이런 속담이 생겼대요,125652381,"11,700"
190,그림 앞에서 수다 떨기,126396124,"23,400"
191,최소한의 한국사,119458052,"16,200"
192,부자의 그릇 (블랙 에디션),96087459,"15,300"
193,당신을 기다리고 있어,90175705,"9,000"
194,폭염 살인,126722130,"20,700"
195,봄의 폭풍과 몬스터 4,126978966,"5,400"
196,원씽 THE ONE THING,9349031,"15,120"
197,그래서 이런 말이 생겼대요 : 우리말,123799830,"11,700"
198,고전의 숲,119243875,"15,750"
199,타이탄의 도구들 (블랙 에디션),37533966,"16,200"
200,저는 브랜딩을 하는 사람입니다,126647253,"16,650"
201,그래서 이런 고사성어가 생겼대요,126794736,"11,700"
202,2024 에듀윌 공인중개사 1차 기출응용 예상문제집 부동산학개론,125886606,"28,800"
203,세상의 마지막 기차역,109308932,"12,600"
204,백년허리1 진단편,99360153,"16,650"
205,봄의 폭풍과 몬스터 4 한정판,126978974,"25,200"
206,2024 에듀윌 공인중개사 1차 기출응용 예상문제집 민법 및 민사특별법,125886573,"28,800"
207,생각이 너무 많은 어른들을 위한 심리학 (20만부 기념 리커버 에디션),122428190,"16,020"
208,해커스 토익 LC Listening(리스닝) 기본서,116020471,"16,920"
209,이토록 공부가 재미있어지는 순간,16384156,"16,200"
210,아주 희미한 빛으로도,120761010,"15,120"
211,신자산가의 인생 습관,126243106,"16,200"
212,백년운동,82589741,"17,550"
213,세계를 건너 너에게 갈게,58552371,"11,250"
214,당근 할머니,126115285,"12,600"
215,속뜻풀이 초등국어사전 (2022),105360118,"47,700"
216,과학을 보다 2,126847336,"17,820"
217,좋은 일이 오려고 그러나 보다 (리커버판),120785860,"15,120"
218,당근밭 걷기,127043675,"10,800"
219,룬의 아이들 - 블러디드 7,126820623,"15,300"
220,169층 나무 집,126189777,"13,500"
221,아주 작은 습관의 힘,69655504,"14,400"
222,28시간에 끝내는 토익스피킹 스타트,29083333,"16,110"
223,나의 히어로 아카데미아 40 일반판,126589746,"5,400"
224,달리기를 말할 때 내가 하고 싶은 이야기,3239082,"13,050"
225,최고의 프롬프트 엔지니어링 강의,126690830,"21,600"
226,2024 전한길 한국사 실전형 봉투 모의고사,125131553,"11,700"
227,감정 호텔,125117836,"13,500"
228,인간 본성의 법칙,75749811,"28,800"
229,멘탈의 공식,126789966,"17,100"
230,똑똑하게 내 마음을 말하는 법,126458182,"13,500"
231,No Title,126437970,No Class
232,인간은 노력하는 한 방황한다,125912298,"16,920"
233,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,123876440,"21,600"
234,샤워젤과 소다수,122883845,"10,800"
235,마침내 멸망하는 여름,117726143,"10,000"
236,외환전문역 1종 최종정리문제집,126570234,"21,600"
237,죽이고 싶은 아이,101864763,"11,250"
238,삐뽀삐뽀 119 이유식,57468926,"17,010"
239,나만의 GPTs 앱으로 생산성 10배 늘리기,126984565,"18,000"
240,착! 붙는 일본어 독학 첫걸음,125402874,"15,120"
241,율의 시선,126190623,"11,700"
242,그래서 이런 한자어가 생겼대요,124126718,"11,700"
243,키위엔 영어회화 하루 5분의 기적,115475489,"17,550"
244,철학의 숲,91901557,"14,400"
245,석가모니 인생수업 : 석가모니가 세상에 남긴 삶의 지혜,126729766,"15,750"
246,해커스 보카 Hackers Vocabulary,18410503,"15,210"
247,소년이 온다,13137546,"13,500"
248,디디미니의 맛있어서 평생 습관 되는 다이어트 레시피,127043692,"19,800"
249,퍼스널 MBA,124707232,"31,950"
250,지적 대화를 위한 넓고 얕은 지식 2,86545684,"14,400"
251,자본 없는 자본주의,61847765,"17,550"
252,런치의 시간,126689252,"15,300"
253,누군가를 이토록 사랑한 적,126045955,"10,800"
254,성공하는 리더들의 영어 필사 100일의 기적,123676271,"15,300"
255,전설로 떠나는 월가의 영웅,102951831,"23,400"
256,발달지체 영유아 조기개입 1,45506639,"15,300"
257,2024 원큐패스 손해평가사 2차 기출문제+합격노트,126841401,"30,600"
258,"김형석, 백 년의 지혜",126111452,"19,800"
259,그래서 이런 관용어가 생겼대요,123799832,"11,700"
260,요즘 어른을 위한 최소한의 세계사,122433629,"16,920"
261,알사탕 제조법,125558276,"9,000"
262,미움받을 용기 (200만 부 기념 스페셜 에디션),116599423,"14,310"
263,1984,372300,"9,900"
264,군주론,122786298,"15,300"
265,슈뻘맨의 숨은 과학 찾기 4,127094861,"13,500"
266,GLOW 글로우,125999889,"17,820"
267,물질의 세계,125105639,"26,820"
268,2024 해커스경찰 박철한 경찰헌법 실전동형모의고사 16회분,124574420,"21,600"
269,일본어 무작정 따라하기 완전판,111140141,"23,400"
270,늪 100층짜리 집,125606701,"13,500"
271,그리스 로마 신화 39,126643694,"15,120"
272,해커스 여행일본어 10분의 기적,72334664,"8,820"
273,빨간내복야코 맞춤법 절대 안 틀리는 책 1,125077403,"12,600"
274,치즈덕이라서 좋아!,126330596,"17,820"
275,메리골드 마음 세탁소,117716170,"13,500"
276,우리가 지켜낸 문화재,58959744,"13,300"
277,여름은 오래 그곳에 남아,30435587,"15,120"
278,타키 포오의 이세계 여행사 6,126527081,"13,050"
279,레버리지,117389523,"16,200"
280,cis의 주식 투자 법칙,126295769,"16,650"
281,2024 강해준 2차 대비 전범위 모의고사 2,127045384,"18,000"
282,2024 고종훈 한국사 지방직대비 동형모의고사,126532276,"16,200"
283,건너가는 자,126289673,"17,820"
284,세계 경제지표의 비밀,108934528,"35,000"
285,발달지체 영유아 조기개입 2 - 수용언어편,58201503,"15,300"
286,일본어 단어 무작정 따라하기,126642937,"23,400"
287,"2024.2025 큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",124219505,"17,550"
288,이은경쌤의 초등어휘일력 365,114853233,"16,920"
289,발달지체 영유아 조기 개입 3 - 표현언어편(1),58691711,"15,300"
290,[예스리커버] 태양 왕 수바: 수박의 전설,118804984,"15,120"
291,"아무튼, 술",72263497,"10,800"
292,소설 보다 : 여름 2024,126947811,"4,950"
293,깨진 틈이 있어야 그 사이로 빛이 들어온다,125184439,"16,920"
294,부의 추월차선 (10주년 스페셜 에디션),106369008,"15,750"
295,발달지체 영유아 조기 개입 4-표현언어편(2),59398887,"15,300"
296,수박 수영장,19427515,"12,600"
297,무례한 친구가 생겼어요,124988172,"15,030"
298,슬픔에 이름 붙이기,126438531,"16,920"
299,신지영 교수의 언어감수성 수업,126821420,"16,200"
300,생기부 고전 필독서 30 한국문학 편,126704662,"18,900"
301,무조건 팔리는 스토리 마케팅 기술 100,126662014,"16,020"
302,법구경 마음공부,126031720,"17,100"
303,2024 미국주식 무작정 따라하기,125977282,"19,800"
304,사카모토 데이즈 15 일반판,125970277,"5,400"
305,2024 단기 합격 해커스공기업 NCS 통합 기본서 직업기초능력평가+직무수행능력평가,124145231,"24,300"
306,영어회화 핵심패턴 233,116577834,"16,200"
307,당신은 결국 무엇이든 해내는 사람,108743692,"15,300"
308,이방인,4827613,"9,000"
309,2024 조태정 영어 백신 모의고사 (추론 출제 경향) Season 2,125920537,"6,300"
